Year,Aug,Sep,Oct,Nov,Dec
1972,11.96,12.44,8.22,5.73,3.2
1973,13.67,13.29,10.42,6.7,4.75
1974,13.19,11.77,8.11,6.38,4.6
1975,14.83,12.98,9.81,7.3,4.86
1976,15.69,13.56,9.48,6.42,3.93
1977,13,11.52,7.95,6.02,3.75
1978,10.36,11.17,7.7,5.25,2.65
1979,9.09,10.72,7.66,5.26,2.92
1980,11.55,11.56,7.52,5.01,2.53
1981,10.18,11.8,7.76,5.47,3.43
1982,8.91,10.2,7.87,5.35,3.33
1983,12.6,12.9,8.77,6.03,3.26
1984,11.18,11.7,8.56,5.5,3.46
1985,11.85,11.98,8.01,5.73,2.91
1986,10.87,10.82,8.07,5.28,3.08
1987,13.93,13.01,8.62,6.01,4.49
1988,12.97,11.95,8.25,5.49,3.61
1989,10.54,11.9,7.65,5.19,1.84
1990,7.31,10.2,7.44,5.1,2.88
1991,11.15,11.79,7.47,4.88,2.49
1992,9.53,11.08,8.23,5.58,3.98
1993,12.38,11.97,7.81,5.56,4.07
1994,12.1,12.7,9.69,6.99,4.99
1995,16.53516129,13.57633333,9.332258065,5.579333333,2.663225806
1996,11.11806452,13.26366667,8.424193548,4.940666667,2.447741935
1997,13.7,13.86166667,8.738387097,5.878,3.83
1998,18.91483871,17.54433333,11.40967742,7.127333333,4.729677419
1999,16.97741935,15.37666667,9.463548387,6.315666667,4.417096774
2000,16.21774194,14.468,9.643870968,5.986333333,4.37483871
2001,16.90354839,14.183,10.59,7.798666667,3.591290323
2002,16.02677419,13.69333333,8.927096774,5.608,3.879677419
2003,15.29064516,14.73766667,9.655483871,5.819333333,3.819354839
2004,13.3183871,12.44866667,9.623548387,7.095333333,4.483225806
2005,17.5016129,16.70133333,11.83451613,7.262333333,4.002258065
2006,17.94645161,15.79233333,10.12516129,6.118666667,4.243548387
2007,16.14,13.56766667,10.39741935,7.069666667,3.623870968
2008,16.07064516,14.926,10.54612903,7.006333333,3.376774194
2009,12.92,15.40833333,9.288387097,6.864333333,3.539354839
2010,18.34258065,13.61566667,11.22419355,7.438666667,4.075483871
2011,16.57580645,14.78,10.54645161,6.978333333,4.409032258
2012,18.44129032,16.395,10.48580645,6.992,4.532580645
2013,14.64580645,14.44666667,10.97129032,6.090333333,3.162258065
2014,13.06322581,11.50566667,8.433870968,5.426666667,3.420967742
2015,13.88451613,14.88266667,11.03967742,7.299,5.054516129
2016,18.87774194,17.46766667,12.70967742,8.750666667,4.912903226
2017,15.31709677,15.12766667,12.33516129,5.972,3.892580645
2018,15.56580645,14.17033333,7.637419355,5.349666667,4.201935484
2019,15.57064516,13.322,9.970645161,5.75,3.789677419
2020,16.85193548,12.77633333,9.702580645,6.244666667,4.534193548
2021,18.22193548,16.27866667,13.93032258,8.487,4.706451613
2022,14.1516129,14.76366667,9.608064516,6.471666667,4.113225806
