YEAR,AUG,SEP,OCT,NOV,DEC
1972,1,0.9,1.1,1,0.1
1973,1,0.9,1.1,1,0.1
1974,1,0.9,1.1,1,0.1
1975,1.4,1.3,1.4,1.3,1.9
1976,0.6,0.3,0.5,0.2,0.8
1977,0,0,0.2,0.7,1.9
1978,0,0,0.2,0.7,1.9
1979,0.2,0.1,0.7,0.5,0.5
1980,0.9,0,0.3,0.4,0.3
1981,0.9,0,0.2,0.3,0.2
1982,1.6,1.4,1.8,2,0.9
1983,0.1,0.1,0.3,0.2,1.1
1984,0.2,0.3,0.2,0.2,0.1
1985,0.4,0,0.2,0.1,0.1
1986,0.2,1,0.8,1.5,2.4
1987,1.6,0.6,1.2,0.7,1.3
1988,1.1,1.1,0.8,1.2,1.6
1989,0.5,0.5,0.2,0.6,0.2
1990,0.7,0.7,0.1,0.5,0.5
1991,1,0.7,0.6,2.5,1.8
1992,0.2,0,0.5,1.1,1.5
1993,0.6,0.9,1.5,0.1,0.7
1994,0.6,1,0.6,1.4,2.8
1995,0.7,0.4,0.9,0.8,1
1996,0.5,0.6,0.5,0.5,0.7
1997,1.7,1.4,2.6,0.6,1.5
1998,0.6,0.9,0.8,1,1.3
1999,0.7,1,0.9,0.7,1.8
2000,0.1,0.5,0.4,0.7,1
2001,0.4,0.3,0.1,0.4,1.8
2002,1.6,1.9,1.5,1.8,1.6
2003,0.5,0,0,0.5,0.1
2004,0.4,0.3,0.3,0.8,0.1
2005,0.3,0.1,0,0.4,0.8
2006,0.5,0.5,1,0.7,0.8
2007,0.4,0.5,1,0.2,1.5
2008,0.3,0.1,0.7,0.5,1.6
2009,0.3,0.1,0.7,0.5,2.6
2010,1,1.3,1.3,1.5,2.2
2011,0.2,0.2,0.9,0.8,1.5
2012,0.1,0.5,0.4,0.2,0.5
2013,0.8,0.3,0.1,0.5,0.7
2014,0.3,0,0.2,0.2,0
2015,1.5,1.7,1.5,1.5,2.7
2016,0.7,0.7,0.9,1.2,1.2
2017,0.2,0.6,0.6,0.9,0.7
2018,0.3,0.2,0.3,0.5,0.3
2019,0,0.5,0.4,0.1,0.2
2020,0.8,0.8,1.1,1.2,1.8
2021,1,0.7,1.2,1.4,1.1
2022,1.2,1.2,1.2,1.3,1.7
