,Aug,Sep,Oct,Nov,Dec
1950,-99.9,-99.9,-99.9,-99.9,-0.94
1951,-99.9,-99.9,-99.9,-99.9,0.58
1952,-99.9,-99.9,-99.9,-99.9,-1.89
1953,-99.9,-99.9,-99.9,-99.9,1.4
1954,-99.9,-99.9,-99.9,-99.9,-1.18
1955,-99.9,-99.9,-99.9,-99.9,-1.4
1956,-99.9,-99.9,-99.9,-99.9,0.88
1957,-99.9,-99.9,-99.9,-99.9,-0.24
1958,-99.9,-99.9,-99.9,-99.9,0.51
1959,-99.9,-99.9,-99.9,-99.9,-0.74
1960,-99.9,-99.9,-99.9,-99.9,1.15
1961,-99.9,-99.9,-99.9,-99.9,-1.57
1962,-99.9,-99.9,-99.9,-99.9,-0.2
1963,-99.9,-99.9,-99.9,-99.9,0.49
1964,-99.9,-99.9,-99.9,-99.9,-0.41
1965,-99.9,-99.9,-99.9,-99.9,-1.49
1966,-99.9,-99.9,-99.9,-99.9,-1.18
1967,-99.9,-99.9,-99.9,-99.9,-0.82
1968,-99.9,-99.9,-99.9,-99.9,-1.1
1969,-99.9,-99.9,-99.9,-99.9,-0.93
1970,-99.9,-99.9,-99.9,-99.9,-0.37
1971,-99.9,-99.9,-99.9,-99.9,0.33
1972,-99.9,-99.9,-99.9,-99.9,1.79
1973,-99.9,-99.9,-99.9,-99.9,-0.57
1974,-99.9,-99.9,-99.9,-99.9,-1.02
1975,-99.9,-99.9,-99.9,-99.9,-0.35
1976,-99.9,-99.9,-99.9,-99.9,0.27
1977,-99.9,-99.9,-99.9,-99.9,-0.07
1978,-99.9,-99.9,-99.9,-99.9,-0.7
1979,-99.9,-99.9,-99.9,-99.9,-0.34
1980,-99.9,-99.9,-99.9,-99.9,0.35
1981,-99.9,-99.9,-99.9,-99.9,-1.36
1982,-99.9,-99.9,-99.9,-99.9,0.44
1983,-99.9,-99.9,-99.9,-99.9,1.24
1984,-99.9,-99.9,-99.9,-99.9,1.34
1985,-99.9,-99.9,-99.9,-99.9,0.79
1986,-99.9,-99.9,-99.9,-99.9,0.08
1987,-99.9,-99.9,-99.9,-99.9,-1
1988,-99.9,-99.9,-99.9,-99.9,0.65
1989,-99.9,-99.9,-99.9,-99.9,0.54
1990,-99.9,-99.9,-99.9,-99.9,1.26
1991,-99.9,-99.9,-99.9,-99.9,-0.03
1992,-99.9,-99.9,-99.9,-99.9,0.35
1993,-99.9,-99.9,-99.9,-99.9,-0.16
1994,-99.9,-99.9,-99.9,-99.9,-1.1
1995,-99.9,-99.9,-99.9,-99.9,-0.63
1996,-99.9,-99.9,-99.9,-99.9,-0.35
1997,-99.9,-99.9,-99.9,-99.9,-0.6
1998,-99.9,-99.9,-99.9,-99.9,1.05
1999,-99.9,-99.9,-99.9,-99.9,-0.16
2000,-99.9,-99.9,-99.9,-99.9,0.27
2001,-99.9,-99.9,-99.9,-99.9,-1.34
2002,-99.9,-99.9,-99.9,-99.9,-0.58
2003,-99.9,-99.9,-99.9,-99.9,-1.03
2004,-99.9,-99.9,-99.9,-99.9,1.11
2005,-99.9,-99.9,-99.9,-99.9,-0.28
2006,-99.9,-99.9,-99.9,-99.9,0.33
2007,-99.9,-99.9,-99.9,-99.9,0.96
2008,-99.9,-99.9,-99.9,-99.9,1.73
2009,-99.9,-99.9,-99.9,-99.9,-0.65
2010,-99.9,-99.9,-99.9,-99.9,-2.87
2011,-99.9,-99.9,-99.9,-99.9,0.71
2012,-99.9,-99.9,-99.9,-99.9,-1.3
2013,-99.9,-99.9,-99.9,-99.9,1.81
2014,-99.9,-99.9,-99.9,-99.9,-0.18
2015,-99.9,-99.9,-99.9,-99.9,0.01
2016,-99.9,-99.9,-99.9,-99.9,0.95
2017,-99.9,-99.9,-99.9,-99.9,1.04
2018,-99.9,-99.9,-99.9,-99.9,-0.62
2019,-99.9,-99.9,-99.9,-99.9,-0.22
2020,-99.9,-99.9,-99.9,-99.9,0.17
2021,-99.9,-99.9,-99.9,-99.9,-0.25
2022,-99.9,-99.9,-99.9,-99.9,-0.7
